Step Index,Previous Position,New Position,Distance,Unit Vector,Norm_Distance,UV
4_135,"(5.675477726922702, 3.0177050365895064, 7.660444431189788)","(5.607285742301771, 2.857054788290065, 7.771459614569717)",0.7959309939736724,"(0.4067366430758149, -0.9135454576425944, -1.2135027449502246e-14)",0.056280820319533284,0.3
4_136,"(5.607285742301771, 2.857054788290065, 7.771459614569717)","(5.777336766211313, 2.8177954160010206, 7.660444431189788)",0.6587216889755786,"(0.16826971941428776, -0.967087199372931, 0.1908602901005282)",0.04657865731892875,0.4
4_137,"(5.777336766211313, 2.8177954160010206, 7.660444431189788)","(5.703579709494145, 2.659622897434634, 7.771459614569717)",0.5816567884364432,"(0.39073112848929503, -0.9205048534524314, -1.8197920474839877e-14)",0.0411293459426598,0.5
4_138,"(5.703579709494145, 2.659622897434634, 7.771459614569717)","(5.8721570105808025, 2.6144527457462474, 7.660444431189788)",0.4392592982452553,"(0.008126070855468624, -0.9553718837933302, 0.2952939732362237)",0.031060322848846415,0.6
4_139,"(5.8721570105808025, 2.6144527457462474, 7.660444431189788)","(5.792924743379603, 2.45895066576218, 7.771459614569717)",0.3759480160169516,"(0.37460659341595076, -0.9271838545667718, -3.6390297686812035e-14)",0.026583539149921526,0.7
4_140,"(5.792924743379603, 2.45895066576218, 7.771459614569717)","(5.9598229361693456, 2.4079247675463544, 7.660444431189788)",0.21966310487748597,"(-0.40906359312625723, -0.737970256943104, 0.5367186196192236)",0.01553252710353621,0.8
4_141,"(5.9598229361693456, 2.4079247675463544, 7.660444431189788)","(5.875211990796904, 2.2552825814758077, 7.771459614569717)",0.20684056658716463,"(0.5168154437309326, -0.8398250960627655, -0.1661192497706569)",0.014625836725825172,0.9
4_142,"(5.875211990796904, 2.2552825814758077, 7.771459614569717)","(5.875211990796904, 2.2552825814758077, 7.771459614569717)",4.8119683831567046e-14,"(0.5168154437309326, -0.8398250960627655, -0.1661192497706569)",3.4025754745853725e-15,1.0
5_94,"(1.4993176245463524, 3.0740566853549867, 9.396926207859089)","(1.4780484914128378, 2.900833496892926, 9.455185755993172)",0.5519454304002627,"(0.8571673007021311, -0.5150380749100231, -7.821747217037543e-15)",0.03902843566809533,0.1
5_95,"(1.4780484914128378, 2.900833496892926, 9.455185755993172)","(1.6056873119135326, 3.019858622586643, 9.396926207859089)",0.45420972836630197,"(0.5904169163187917, -0.796323518394529, 0.13144093341256816)",0.03211747790087119,0.2
5_96,"(1.6056873119135326, 3.019858622586643, 9.396926207859089)","(1.5783857332667222, 2.8474832390523175, 9.455185755993172)",0.44323748030010024,"(0.8480480961564513, -0.5299192642331645, -1.0425289677438892e-14)",0.031341622799623964,0.3
5_97,"(1.5783857332667222, 2.8474832390523175, 9.455185755993172)","(1.710100716628316, 2.961981327260238, 9.396926207859089)",0.3407784137153368,"(0.4633836003874929, -0.8693755074358459, 0.171644591999252)",0.02409667272201094,0.4
5_98,"(1.710100716628316, 2.961981327260238, 9.396926207859089)","(1.6767999552363047, 2.7906637615060927, 9.455185755993172)",0.3394196546217655,"(0.8386705679454612, -0.5446390350149697, -1.5633964839938148e-14)",0.024000593945104624,0.5
5_99,"(1.6767999552363047, 2.7906637615060927, 9.455185755993172)","(1.8124306270407091, 2.9004953139448135, 9.396926207859089)",0.22724329465835974,"(0.22252629514073868, -0.9459508050977079, 0.23592185635488494)",0.016068527463209893,0.6
5_100,"(1.8124306270407091, 2.9004953139448135, 9.396926207859089)","(1.773171254751664, 2.7304442900352712, 9.455185755993172)",0.24694425957060614,"(0.8290375725551168, -0.5591929034706354, -3.1263167422733307e-14)",0.01746159605174666,0.7
5_101,"(1.773171254751664, 2.7304442900352712, 9.455185755993172)","(1.9125523699175893, 2.8354754938764, 9.396926207859089)",0.11363895509247447,"(-0.24550147025263463, -0.9162239603162632, 0.31664283135131494)",0.008035487575284224,0.8
5_102,"(1.9125523699175893, 2.8354754938764, 9.396926207859089)","(1.867382218229202, 2.6668981927897417, 9.455185755993172)",0.1839913693464958,"(0.9913785777473055, -0.016252107831923043, -0.13001686265538434)",0.013010154494470584,0.9
5_103,"(1.867382218229202, 2.6668981927897417, 9.455185755993172)","(1.867382218229202, 2.6668981927897417, 9.455185755993172)",2.7325022356654856e-14,"(0.9913785777473055, -0.016252107831923043, -0.13001686265538434)",1.9321708604464663e-15,1.0
6_50,"(7.741886864468469, 0.6773273349412526, 6.293203910498368)","(7.850121347822978, 0.6867966252373575, 6.1566147532565765)",1.5691819145568897,"(0.5570650056480865, 0.04873687284121242, -0.8290375725550422)",0.11095791726984663,0.1
6_51,"(7.850121347822978, 0.6867966252373575, 6.1566147532565765)","(7.955964608169106, 0.6960567106282667, 6.018150231520476)",1.3951294748824965,"(0.5498366984486136, 0.04810447790477571, -0.8338858220671684)",0.09865055123226403,0.2
6_52,"(7.955964608169106, 0.6960567106282667, 6.018150231520476)","(8.059384404624428, 0.7051047704022658, 5.877852522924725)",1.2209707906971279,"(0.5425665190557729, 0.04746841962610243, -0.838670567945425)",0.086335672573264,0.3
6_53,"(8.059384404624428, 0.7051047704022658, 5.877852522924725)","(8.160349234517088, 0.713938048432697, 5.735764363510453)",1.0467191248588665,"(0.5352550211218768, 0.04682874644349324, -0.8433914458128858)",0.0740142191185353,0.4
6_54,"(8.160349234517088, 0.713938048432697, 5.735764363510453)","(8.25882834298184, 0.7225538540175025, 5.591929034707461)",0.8723877473067098,"(0.5279027614457954, 0.04618550707053752, -0.8480480961564273)",0.06168712919446307,0.5
6_55,"(8.25882834298184, 0.7225538540175025, 5.591929034707461)","(8.354791732328248, 0.7309495626988378, 5.4463903501502635)",0.697989934050009,"(0.5205102999305756, 0.045538750492403926, -0.8526401643540918)",0.04935534155667124,0.6
6_56,"(8.354791732328248, 0.7309495626988378, 5.4463903501502635)","(8.448210171178308, 0.7391226170625078, 5.2991926423320415)",0.5235389661574537,"(0.5130781995407747, 0.0448885259621098, -0.8571673007021127)",0.037019795318532986,0.7
6_57,"(8.448210171178308, 0.7391226170625078, 5.2991926423320415)","(8.539055203370577, 0.7470705275169789, 5.150380749100534)",0.34904812874565966,"(0.5056070262596177, 0.04423488299677095, -0.8616291604415256)",0.0246814298796531,0.8
6_58,"(8.539055203370577, 0.7470705275169789, 5.150380749100534)","(8.627299156628213, 0.7547908730517336, 4.999999999999991)",0.17453070996746806,"(-0.47847133369733996, -0.039872611141445, 0.87719744511179)",0.012341184854329923,0.9
6_59,"(8.627299156628213, 0.7547908730517336, 4.999999999999991)","(8.627299156628213, 0.7547908730517336, 4.999999999999991)",1.1137700720795299e-14,"(-0.47847133369733996, -0.039872611141445, 0.87719744511179)",7.875543706500654e-16,1.0
7_51,"(-5.086971015512254, 8.46614148842883, 1.5643446504023093)","(-5.233950787398901, 8.376072168376066, 1.5643446504023093)",1.5498626812806093,"(-0.8090169943749479, -0.5877852522924728, 0.0)",0.10959184118414836,0.1
7_52,"(-5.233950787398901, 8.376072168376066, 1.5643446504023093)","(-5.379336247173287, 8.28345141559998, 1.5643446504023093)",1.3779531159620746,"(-0.8038568606172177, -0.5948227867513407, 0.0)",0.0974359992453916,0.2
7_53,"(-5.379336247173287, 8.28345141559998, 1.5643446504023093)","(-5.523083109015983, 8.18830744327911, 1.5643446504023093)",1.2059386141787969,"(-0.7986355100472928, -0.6018150231520483, 0.0)",0.08527273717805349,0.3
7_54,"(-5.523083109015983, 8.18830744327911, 1.5643446504023093)","(-5.665147586240364, 8.090669233189098, 1.5643446504023093)",1.0338322755010692,"(-0.7933533402912359, -0.6087614290087195, 0.0)",0.0731029812616325,0.4
7_55,"(-5.665147586240364, 8.090669233189098, 1.5643446504023093)","(-5.805486404630462, 7.990566526874586, 1.5643446504023093)",0.8616472064929175,"(-0.7880107536067223, -0.6156614753256578, 0.0)",0.06092765827015873,0.5
7_56,"(-5.805486404630462, 7.990566526874586, 1.5643446504023093)","(-5.944056815622697, 7.888029816589632, 1.5643446504023093)",0.6893965197139872,"(-0.7826081568524149, -0.6225146366376183, 0.0)",0.048747695401616574,0.6
7_57,"(-5.944056815622697, 7.888029816589632, 1.5643446504023093)","(-6.080816609327524, 7.783090336009484, 1.5643446504023093)",0.5170933327209756,"(-0.7771459614569717, -0.6293203910498364, 0.0)",0.036564020207335346,0.7
7_58,"(-6.080816609327524, 7.783090336009484, 1.5643446504023093)","(-6.215724127386956, 7.675780050716497, 1.5643446504023093)",0.3447507670686679,"(-0.7716245833877245, -0.6360782202777584, 0.0)",0.0243775605213519,0.8
7_59,"(-6.215724127386956, 7.675780050716497, 1.5643446504023093)","(-6.348738275664115, 7.566131648463113, 1.5643446504023093)",0.17238194731069084,"(-0.7808688094430304, -0.6246950475544243, 0.0)",0.012189244389753162,0.9
7_60,"(-6.348738275664115, 7.566131648463113, 1.5643446504023093)","(-6.348738275664115, 7.566131648463113, 1.5643446504023093)",2.2748467065386707e-14,"(-0.7808688094430304, -0.6246950475544243, 0.0)",1.6085595323533781e-15,1.0
8_35,"(-5.260918256996654, 4.9058856415864724, 6.946583704589974)","(-5.254827454987567, 4.731467892558172, 7.071067811865477)",1.132663323789168,"(-0.6156614753256603, -0.7880107536067203, -1.8006557664517355e-15)",0.08009139170526147,0.1
8_36,"(-5.254827454987567, 4.731467892558172, 7.071067811865477)","(-5.428926387511138, 4.719293709244031, 6.946583704589974)",0.9865055123226761,"(-0.487838273499545, -0.8616071892074165, 0.14016729438452522)",0.06975647374412734,0.2
8_37,"(-5.428926387511138, 4.719293709244031, 6.946583704589974)","(-5.416752204196996, 4.545194776720461, 7.071067811865477)",0.8881109378768498,"(-0.6018150231520512, -0.7986355100472907, -2.400021050759564e-15)",0.06279892666186651,0.3
8_38,"(-5.416752204196996, 4.545194776720461, 7.071067811865477)","(-5.590320207484441, 4.526952044468345, 6.946583704589974)",0.7401421911853919,"(-0.4207067614637846, -0.8865075081708981, 0.19264023155945198)",0.052335956242946076,0.4
8_39,"(-5.590320207484441, 4.526952044468345, 6.946583704589974)","(-5.572077475232325, 4.353384041180901, 7.071067811865477)",0.6461999462302521,"(-0.587785252292475, -0.8090169943749461, -3.599117711221659e-15)",0.04569323639817936,0.5
